tecano,tpg_ord,tpo,Technical point
1,1,bpo-eye-lft-spf-coo,Body point-Eye-Left-Superficial-Coordinate
2,2,bpo-eye-rgh-spf-coo,Body point-Eye-Right-Superficial-Coordinate
3,3,bpo-nos-unp-spf-coo,Body point-Nose-Unpaired-Superficial-Coordinate
4,4,bpo-ear-lft-spf-coo,Body point-Ear-Left-Superficial-Coordinate
5,5,bpo-ear-rgh-spf-coo,Body point-Ear-Right-Superficial-Coordinate
6,6,bjo-shl-lft-spf-coo,Body joint-Shoulder-Left-Superficial-Coordinate
7,7,bjo-shl-rgh-spf-coo,Body joint-Shoulder-Right-Superficial-Coordinate
8,8,bjo-elb-lft-spf-coo,Body joint-Elbow-Left-Superficial-Coordinate
9,9,bjo-elb-rgh-spf-coo,Body joint-Elbow-Right-Superficial-Coordinate
10,10,bjo-wrs-lft-spf-coo,Body joint-Wrist-Left-Superficial-Coordinate
11,11,bjo-wrs-rgh-spf-coo,Body joint-Wrist-Right-Superficial-Coordinate
12,12,bjo-hip-lft-spf-coo,Body joint-Hip-Left-Superficial-Coordinate
13,13,bjo-hip-rgh-spf-coo,Body joint-Hip-Right-Superficial-Coordinate
14,14,bjo-kne-lft-spf-coo,Body joint-Knee-Left-Superficial-Coordinate
15,15,bjo-kne-rgh-spf-coo,Body joint-Knee-Right-Superficial-Coordinate
16,16,bjo-ank-lft-spf-coo,Body joint-Ankle-Left-Superficial-Coordinate
17,17,bjo-ank-rgh-spf-coo,Body joint-Ankle-Right-Superficial-Coordinate
